,CODIGO,NOMBRE FANTASIA,COMUNA,ESTACIONAMIENTO,ES PAR
351,93481,EL VECINO,LA FLORIDA,NO,NO
352,93482,WALDO CHRISTIAN RUBIO,LA FLORIDA,NO,SI
353,93483,KIOSKO CRISMA,LA FLORIDA,NO,NO
354,93484,ALEJANDRO OLIVARES J,LA FLORIDA,NO,SI
355,93485,JUAN AVILES,LA FLORIDA,NO,NO
356,93491,SANTA HELITA,PEDRO AGUIRRE CERDA,NO,NO
357,93492,ALMACEN GEMITA,PUDAHUEL,NO,SI
358,93496,SANTA TERESITA,MAIPU,NO,SI
359,93514,ALMACEN GUILLERMINA,QUILICURA,NO,SI
360,93522,MARY,MAIPU,NO,SI
361,93542,SERVICIO TOTAL,MAIPU,NO,SI
362,93546,FARMACIA PRINCIPAL,MAIPU,NO,SI
363,93547,EL CIELO,MAIPU,NO,NO
364,93548,GENESIS,MAIPU,NO,SI
365,93549,LAS VENTANAS,MAIPU,NO,NO
366,93551,MARY,MAIPU,NO,NO
367,93558,JUEGOS BIP,MAIPU,NO,SI
368,93563,LA EMERGENCIA,MAIPU,NO,NO
369,93564,DELFA,MAIPU,NO,SI
370,93567,FARM PRINCIPAL,MAIPU,NO,NO
371,93571,LA VEGUITA,MAIPU,NO,NO
372,93575,EL MONTINO,MAIPU,NO,NO
373,93588,GENESIS,MAIPU,NO,SI
374,93609,ALMACEN EL VECINO,MAIPU,NO,NO
375,93613,AINHOITA,MAIPU,NO,NO
376,93641,SANTA TERESA,MAIPU,NO,NO
377,93642,ERBI - MAIPU,MAIPU,NO,SI
378,93649,ANTONELLA,MAIPU,NO,NO
379,93650,EL FILODENDRO,MAIPU,NO,SI
380,93656,SILVANA SAAVEDRA GARCIA M,MAIPU,NO,SI
381,93658,CARYPED,MAIPU,NO,SI
382,93659,D LUKAS,MAIPU,NO,NO
383,93664,JULY N 1,MAIPU,NO,SI
384,93666,NICO,MAIPU,NO,SI
385,93685,CLAUDIO MARCELO,SANTIAGO,NO,NO
386,93703,JUANA CORTES,SANTIAGO,NO,NO
387,93705,LIBRERIA PINOCHO,SANTIAGO,NO,NO
388,93708,LIBRERIA PINOCHO,SANTIAGO,NO,SI
389,93709,ERBI - PORTUGAL,SANTIAGO,NO,NO
390,93722,DUCAL,SANTIAGO,NO,SI
391,93729,JEAN PAUL,SANTIAGO,NO,NO
392,93730,PROMARKET,SANTIAGO,NO,SI
393,93733,BRAVO Y JARA LIMITADA,SANTIAGO,NO,NO
394,93734,AYLINE,SANTIAGO,NO,SI
395,93745,PANADERIA STANDARD STGO,SANTIAGO,NO,NO
396,93746,PAN SANTIAGO,SANTIAGO,NO,SI
397,93748,EVITA,SANTIAGO,NO,SI
398,93767,EL ARCA DE NOE,SANTIAGO,NO,NO
399,93779,PARINACOTA JOYAS,SANTIAGO,NO,NO
400,93785,LOS TOPOS,SANTIAGO,NO,NO
401,93787,VANESSA,LA FLORIDA,NO,NO
402,93821,OASIS,LA PINTANA,NO,NO
403,93835,GABE,QUILICURA,NO,NO
404,93837,LA CASERITA,PUDAHUEL,NO,NO
405,93845,MARIA ANGELICA,PROVIDENCIA,NO,NO
406,93857,KIOSKO CRISTIAN,INDEPENDENCIA,NO,NO
407,93990,VICTORIA ILUSION,MACUL,NO,SI
408,93993,JORGE RUBIO,RECOLETA,NO,NO
409,94061,EL PROGRESO,INDEPENDENCIA,NO,NO
410,94098,LAURA PAMELA,MAIPU,NO,SI
411,94103,GIRASOL,RECOLETA,NO,NO
412,94120,EL RUBIO,SAN JOAQUIN,NO,SI
413,94126,MARTA SANTIBAÑEZ,INDEPENDENCIA,NO,SI
414,94131,JUDITH,MAIPU,NO,NO
415,94147,CORAOS,PUDAHUEL,NO,NO
416,94154,RSV ENTRETENIMIENTOS EIRL,CONCHALI,NO,SI
417,94157,LA PUNTA DE DIAMANTE,PEÑALOLEN,NO,NO
418,94182,SANTA TERESITA,VITACURA,NO,SI
419,94191,URIEL ORDOÑEZ,LAS CONDES,NO,NO
420,94201,LAS PEQUES,QUILICURA,NO,NO
421,94222,ESTESY Y BENJY,ÑUÑOA,NO,SI
422,94252,KIOSCO,LAS CONDES,NO,SI
423,94363,FARMACIA LORENA,MAIPU,NO,NO
424,94365,NUEVO AMANECER,HUECHURABA,NO,NO
425,94379,DONDE CARLITOS,MAIPU,NO,NO
426,94380,CONI,CONCHALI,NO,SI
427,94401,DONDE JUANITO,PEÑALOLEN,NO,NO
428,94405,JANO,SANTIAGO,NO,NO
429,94410,JORGE ORTIZ,RENCA,NO,SI
430,94413,KATYLINA,CERRO NAVIA,NO,NO
431,94420,CARMELO,ÑUÑOA,NO,SI
432,94441,LO ALMENDRO LTDA.,MAIPU,NO,NO
433,94511,PIN PON,LO ESPEJO,NO,NO
434,94513,DYLAN Y JAVIERA,SAN JOAQUIN,NO,NO
435,94551,ISRAEL,PUDAHUEL,NO,NO
436,94556,PATO,CERRILLOS,NO,SI
437,94558,ERBI - CERRILLOS (LOS ESTUDIANTES),CONCHALI,NO,SI
438,94559,ERBI - CONCHALI,SANTIAGO,NO,NO
439,94564,ERBI - SAN DIEGO 2,LA CISTERNA,NO,SI
440,94567,ERBI - LA CISTERNA,RECOLETA,NO,NO
441,94570,LAS CARMELITAS,PUENTE ALTO,NO,SI
442,94587,NELIDA,RECOLETA,NO,NO
443,94591,EL GRIFO,ÑUÑOA,NO,NO
444,94593,PERLA,PUENTE ALTO,NO,NO
445,94599,DONDE EL PABLO,VITACURA,NO,NO
446,94604,RAQUEL MORA,PUENTE ALTO,NO,SI
447,94613,FABIOLA,MAIPU,NO,NO
448,94730,CYBERNAUTA,PUDAHUEL,NO,SI
449,94739,YESSICA,CERRO NAVIA,NO,NO
450,94745,BELEN,PUENTE ALTO,NO,NO
451,94752,PATRICIA,SAN BERNARDO,NO,SI
452,94753,CRISTOBAL,ESTACION CENTRAL,NO,NO
453,94766,PATRICIA,SANTIAGO,NO,SI
